season,gsis_id,pfr_id,team
2021,00-0020531,BreeDr00,NO
2023,00-0037744,McBrTr01,ARI
2023,00-0037611,ThibKa00,NYG
2023,00-0037616,CrosNi00,IND
2023,00-0037617,HaskHa00,TEN
2023,00-0037621,AndeRy01,NYG
2023,00-0037639,KwenWi00,MIN
2023,00-0037660,EmilPr00,NO
2023,00-0037663,JohnJe07,NYJ
2023,00-0037664,PierAl00,IND
2023,00-0037740,WilsGa00,NYJ
2023,00-0037741,DotsJa00,WAS
2023,00-0037742,BurkTr00,TEN
2023,00-0037743,HillDa04,CIN
2023,00-0037745,JoneVe00,CHI
2023,00-0037843,HardDa01,CHI
2023,00-0037746,RobiBr01,WAS
2023,00-0037753,TaylCa01,CIN
2023,00-0037755,WoodJe01,IND
2023,00-0037758,FlotCo00,NYG
2023,00-0037804,CartZa00,CIN
2023,00-0037805,RuckJe00,NYJ
2023,00-0037808,MaloDe00,ATL
2023,00-0037809,OkonCh00,TEN
2023,00-0037810,AndeTr00,ATL
2023,00-0037811,MumaCh00,JAX
2023,00-0037815,ThomCa03,ARI
2023,00-0037822,AsamBr00,MIN
2023,00-0037596,GibbJa00,TEN
2023,00-0037594,ChesJu00,TEN
2023,00-0037593,AverTr01,TEN
2023,00-0037587,LandNa01,ATL
2023,00-0037382,JohnBr23,DEN
2023,00-0037387,VirgJa00,DEN
2023,00-0037392,DenbTr00,IND
2023,00-0037393,DomaJo00,TEN
2023,00-0037395,FlowDa00,IND
2023,00-0037401,RhynFo00,PIT
2023,00-0037420,LassKw20,CIN
2023,00-0037429,BlacRa00,CAR
2023,00-0037447,FoxxTo00,NYG
2023,00-0037468,LaynRa00,LAC
2023,00-0037475,SmarSt00,LAC
2023,00-0037488,TurnNo00,TB
2023,00-0037493,BrowMi02,TEN
2023,00-0037503,ButlDa00,LV
2023,00-0037512,PolaIs00,LV
2023,00-0037516,WebbSa00,LV
2023,00-0037517,MastLu00,LV
2023,00-0037527,OlubSe00,IND
2023,00-0037539,KrulLu00,DEN
2023,00-0037544,SeweNe00,NO
2023,00-0037545,ShahRa00,NO
2023,00-0037560,WootCh00,CAR
2023,00-0037570,HousDe01,NYG
2023,00-0037580,BernJa00,ATL
2023,00-0037585,HornTi00,NYG
2023,00-0037833,CastTa00,WAS
2023,00-0038039,JoneJa10,LV
2024,00-0033461,McMiRa02,TEN
2023,00-0038406,KuntZa00,NYJ
2023,00-0038381,BluxKy00,WAS
2023,00-0038389,AbanIs00,NYJ
2023,00-0038390,SeweNo00,CHI
2023,00-0038394,MallWi00,IND
2023,00-0038395,SmitTe05,CHI
2023,00-0038396,GrayEr01,NYG
2023,00-0038397,HullEv00,IND
2023,00-0038399,BarnZa00,NYJ
2023,00-0038401,BernJa01,NYJ
2023,00-0038403,HawkTr00,NYG
2023,00-0038404,LeoxTi00,IND
2023,00-0038405,BellTr01,CIN
2023,00-0038407,JoneJa13,IND
2023,00-0038040,WhitZa01,LV
2023,00-0038416,BageTy00,CHI
2023,00-0038423,HarrJa04,WAS
2023,00-0038476,DeViTo00,NYG
2023,00-0038488,RussBr00,SEA
2023,00-0038492,BrowJa07,NYJ
2023,00-0038493,CherCl00,CAR
2023,00-0038496,GipsXa00,NYJ
2023,00-0038506,RileJo00,NYG
2023,00-0038541,WilsTy01,LV
2023,00-0038542,RobiBi01,ATL
2023,00-0038543,SmitJa06,SEA
2023,00-0038544,JohnQu02,LAC
2023,00-0038368,JohnQu01,CHI
2023,00-0038147,BaldDa01,MIN
2023,00-0038136,BryaCo01,SEA
2023,00-0038135,BrisJa01,CHI
2023,00-0038045,SpilIs00,LAC
2023,00-0038091,WoodJT00,LAC
2023,00-0038097,YorkCa00,NYG
2023,00-0038099,MathPh00,WAS
2023,00-0038100,ButlPe00,WAS
2023,00-0038101,EvanAk00,MIN
2023,00-0038104,ThorTy00,NE
2023,00-0038105,MathDa00,DEN
2023,00-0038107,ClemMi03,NYJ
2023,00-0038108,ZappBa00,NE
2023,00-0038111,GordKy00,CHI
2023,00-0038115,BellDa00,NYG
2023,00-0038116,EbikAr00,ATL
2023,00-0038117,RobiWa01,NYG
2023,00-0038120,HallBr03,NYJ
2023,00-0038121,TaylAl01,NO
2023,00-0038122,RiddDe00,ATL
2023,00-0038123,BeltDa00,NYG
2023,00-0038125,McCrRo01,TEN
2023,00-0038126,WinfPe00,NYJ
2023,00-0038128,WillMa12,TEN
2023,00-0038130,BootAn00,MIN
2023,00-0038132,CorrMa00,NE
2023,00-0038133,MafeBo00,SEA
2023,00-0038134,WalkKe00,SEA
2023,00-0037375,HintCh01,LAC
2023,00-0037356,StilBe00,ARI
2023,00-0037354,McKiVe00,ARI
2023,00-0036989,KoonMa00,LV
2023,00-0036959,BandMi00,DEN
2023,00-0036961,GranRi00,ATL
2023,00-0036962,MoehTr00,LV
2023,00-0036970,PittKy00,ATL
2023,00-0036971,LawrTr00,JAX
2023,00-0036972,JoneMa05,NE
2023,00-0036973,EtieTr00,JAX
2023,00-0036974,CampTy01,JAX
2023,00-0036978,PerkRo00,DEN
2023,00-0036981,BarmCh00,NE
2023,00-0036984,SermTr00,IND
2023,00-0036988,PalmJo00,LAC
2023,00-0036990,DeabDi00,LV
2023,00-0037341,PerrRo01,SEA
2023,00-0036991,RodgAm00,IND
2023,00-0036992,MoldEl00,TEN
2023,00-0036995,BrowBa01,DEN
2023,00-0036997,WillJa10,DEN
2023,00-0037000,RiceMo00,NO
2023,00-0037003,SurrCh00,NYJ
2023,00-0037005,TremTo00,CAR
2023,00-0037007,JonePa00,MIN
2023,00-0037013,WilsZa00,NYJ
2023,00-0037043,BarnAm00,CAR
2023,00-0037051,GarcEl00,DEN
2023,00-0037055,McCuLa01,NYJ
2023,00-0036956,HallDa03,IND
2023,00-0036955,MarsTe00,CAR
2023,00-0036952,CoopJo02,DEN
2023,00-0036951,DarbFr00,ATL
2023,00-0036896,DimuVi00,ARI
2023,00-0036897,GowaTa00,TEN
2023,00-0036899,RobiAa00,NYG
2023,00-0036900,ChasJa00,CIN
2023,00-0036902,OssaJo00,CIN
2023,00-0036906,HerbKh00,CHI
2023,00-0036908,GrahTh00,CLE
2023,00-0036909,TongKh00,MIN
2023,00-0036910,SaunCJ00,ATL
2023,00-0036918,HarrJa03,JAX
2023,00-0036924,CartMi03,ARI
2023,00-0036926,TurnPa02,NO
2023,00-0036927,WernPe00,NO
2023,00-0036933,CollZa00,ARI
2023,00-0036936,MoorRo02,ARI
2023,00-0036937,AdebPa00,NO
2023,00-0036938,WeavRa00,TEN
2023,00-0036939,BakeKa00,NO
2023,00-0036941,CiscAn00,JAX
2023,00-0036944,HornJa00,CAR
2023,00-0036945,FielJu00,CHI
2023,00-0036946,MondKe00,IND
2023,00-0036948,GrahTa00,ATL
2023,00-0036949,OgunAd01,ATL
2023,00-0036950,WillAv02,ATL
2023,00-0037077,HoweSa00,WAS
2023,00-0037078,TurnCo00,WAS
2023,00-0037079,WoolTa00,SEA
2023,00-0037265,ConnSn00,JAX
2023,00-0037270,OgboOt00,LAC
2023,00-0037271,JackDM00,NO
2023,00-0037273,PhilKy01,TEN
2023,00-0037276,ChanTy01,MIN
2023,00-0037280,ButlMa02,LV
2023,00-0037283,RidgJo00,WAS
2023,00-0037285,BeavDa00,NYG
2023,00-0037286,HarrKe01,NE
2023,00-0037291,NailJa00,MIN
2023,00-0037292,OgleAn00,IND
2023,00-0037293,HarpDe00,CIN
2023,00-0037296,JuniGr00,JAX
2023,00-0037298,RobeSa00,NE
2023,00-0037301,JackTh00,MIN
2023,00-0037306,FitzJo00,ATL
2023,00-0037309,BrooCu00,WAS
