season,team,n_dropbacks,sack_rate_allowed,pressure_rate_allowed,n_rushes,rush_success_rate,stuff_rate,rush_epa,n_opp_dropbacks,def_sack_rate,def_pressure_rate,n_opp_rushes,def_rush_success_allowed,def_stuff_rate,pass_prot_quality,run_block_quality,oline_quality,def_pass_rush_quality,def_run_stop_quality
2021,ARI,666.0,0.0586,0.1502,463.0,0.406,0.2246,-0.0464,627.0,0.0654,0.2233,402.0,0.4055,0.2363,76.2,47.0,63.1,63.1,57.3
2021,ATL,631.0,0.0634,0.2678,377.0,0.3103,0.2175,-0.163,630.0,0.0286,0.1206,493.0,0.4361,0.1602,28.5,17.0,23.3,1.2,7.7
2021,BAL,743.0,0.0767,0.21,443.0,0.4402,0.1761,-0.0426,673.0,0.0505,0.1902,362.0,0.3508,0.2597,32.2,86.4,56.6,22.5,90.8
2021,BUF,733.0,0.0368,0.161,416.0,0.3894,0.2188,-0.0414,608.0,0.0691,0.2122,411.0,0.3674,0.2579,91.2,43.3,69.6,61.5,84.0
2021,CAR,683.0,0.0761,0.2299,426.0,0.4061,0.2347,-0.0867,572.0,0.0682,0.222,461.0,0.3427,0.256,26.2,41.1,32.9,65.2,91.4
2021,CHI,659.0,0.088,0.2549,417.0,0.3717,0.235,-0.1077,544.0,0.0901,0.2316,464.0,0.4138,0.1983,11.7,23.0,16.8,87.6,33.0
2021,CIN,630.0,0.0873,0.254,418.0,0.3804,0.1986,-0.1177,693.0,0.0606,0.1948,383.0,0.3943,0.1984,12.9,44.3,27.0,41.0,48.0
2021,CLE,600.0,0.0817,0.2083,455.0,0.4242,0.1692,0.0268,643.0,0.0669,0.2131,419.0,0.3986,0.1862,28.5,88.0,55.3,59.9,37.6
2021,DAL,706.0,0.0467,0.1601,457.0,0.4026,0.186,-0.056,686.0,0.0598,0.2172,403.0,0.3945,0.1861,87.1,66.1,77.6,53.1,39.8
2021,DEN,605.0,0.0661,0.2198,433.0,0.4226,0.1871,-0.0993,632.0,0.057,0.182,412.0,0.432,0.1723,37.3,69.6,51.8,26.2,13.6
2021,DET,643.0,0.056,0.2006,414.0,0.3744,0.1932,-0.0995,607.0,0.0494,0.1483,489.0,0.3988,0.1963,57.8,47.0,52.9,5.6,42.4
2021,GB,647.0,0.051,0.1777,425.0,0.44,0.1788,0.0006,686.0,0.0569,0.1851,355.0,0.4535,0.1662,77.0,88.0,82.0,27.0,6.7
2021,HOU,613.0,0.0718,0.217,396.0,0.2929,0.1944,-0.1933,600.0,0.0533,0.1667,504.0,0.4167,0.2282,32.4,27.2,30.1,13.7,47.9
2021,IND,583.0,0.0549,0.2367,474.0,0.4262,0.211,0.069,666.0,0.0495,0.1727,392.0,0.3776,0.1888,47.5,68.5,57.0,12.4,49.9
2021,JAX,670.0,0.0478,0.1701,361.0,0.4238,0.1856,-0.0946,603.0,0.0531,0.1874,466.0,0.4077,0.2039,81.8,72.8,77.8,23.6,41.6
2021,KC,751.0,0.0373,0.1531,385.0,0.4468,0.2026,-0.0293,678.0,0.0457,0.1726,383.0,0.47,0.1619,92.2,73.1,83.6,10.2,3.3
2021,LA,649.0,0.0478,0.1618,412.0,0.3908,0.2184,-0.0972,703.0,0.0711,0.192,413.0,0.3971,0.2034,85.4,39.8,64.9,53.0,51.4
2021,LAC,748.0,0.0414,0.1711,390.0,0.4077,0.1923,-0.0951,626.0,0.0559,0.1933,480.0,0.4708,0.1625,84.8,62.7,74.9,33.3,3.2
2021,LV,686.0,0.0583,0.1822,396.0,0.4141,0.1944,-0.1344,676.0,0.0518,0.2115,429.0,0.3753,0.2098,64.1,59.8,62.2,37.6,63.8
2021,MIA,688.0,0.0581,0.1802,410.0,0.3122,0.2171,-0.1767,671.0,0.0715,0.2519,405.0,0.3975,0.2123,66.4,17.2,44.3,85.6,55.2
2021,MIN,648.0,0.0463,0.1929,437.0,0.3593,0.2494,-0.1025,713.0,0.0715,0.2104,440.0,0.4227,0.1341,72.3,15.7,46.8,64.7,10.7
2021,NE,579.0,0.0484,0.1813,476.0,0.4517,0.208,0.0005,603.0,0.0597,0.1957,438.0,0.3813,0.1735,74.6,74.9,74.7,40.1,42.8
2021,NO,581.0,0.0637,0.2117,473.0,0.3636,0.2156,-0.1604,672.0,0.0685,0.2321,395.0,0.3266,0.2177,43.0,25.6,35.2,72.0,82.2
2021,NYG,662.0,0.0574,0.2115,389.0,0.3805,0.2159,-0.1168,666.0,0.0511,0.1622,469.0,0.4435,0.1535,52.7,35.7,45.1,9.6,4.4
2021,NYJ,680.0,0.0779,0.2235,364.0,0.4066,0.2005,-0.0605,645.0,0.0512,0.1814,502.0,0.4024,0.241,26.2,59.7,41.3,18.1,62.4
2021,PHI,581.0,0.0534,0.1652,498.0,0.4719,0.1586,0.0264,646.0,0.0449,0.1687,431.0,0.4107,0.1949,78.3,98.4,87.3,8.6,32.8
2021,PIT,710.0,0.0535,0.1577,405.0,0.3654,0.2049,-0.073,651.0,0.0845,0.2396,466.0,0.412,0.1845,80.9,38.4,61.8,91.1,25.9
2021,SEA,569.0,0.0808,0.2531,386.0,0.4119,0.1943,0.0163,721.0,0.0472,0.1678,484.0,0.3843,0.2149,17.2,70.8,41.3,9.0,63.4
2021,SF,564.0,0.0585,0.195,482.0,0.4212,0.195,-0.0096,627.0,0.0766,0.2329,408.0,0.3407,0.223,57.6,70.7,63.5,82.6,82.3
2021,TB,763.0,0.0301,0.1048,377.0,0.4403,0.1936,-0.0179,765.0,0.0614,0.2222,331.0,0.3807,0.2749,98.4,78.5,89.4,57.9,80.5
2021,TEN,601.0,0.0782,0.2629,533.0,0.3771,0.1989,-0.043,706.0,0.0609,0.187,337.0,0.3976,0.1988,15.2,48.7,30.3,34.2,47.0
2021,WAS,635.0,0.0677,0.2236,440.0,0.4341,0.1795,-0.0588,668.0,0.0569,0.2051,401.0,0.3641,0.2095,33.2,81.4,54.9,40.1,67.7
